old_x old_y new_lat new_lon id
1533636.82469 7440605.24451 40.7456985 -111.8853507 93.0

1535222.18376 7440600.15678 40.7457031 -111.8796294 94.0

1528865.16476 7437658.11147 40.7375519 -111.9025227 95.0

1528848.77741 7434711.70203 40.7294649 -111.9025340 96.0

1530451.73112 7437653.45314 40.7375586 -111.8967977 97.0

1530439.45075 7434705.66231 40.7294678 -111.8967949 98.0

1532037.8325 7437647.32795 40.7375610 -111.8910744 99.0

1532026.10025 7434698.67116 40.7294678 -111.8910702 100.0

1533625.86136 7437641.27207 40.7375633 -111.8853442 101.0

1533614.81218 7434691.52172 40.7294671 -111.8853382 102.0

1535200.16453 7434684.71766 40.7294670 -111.8796182 103.0

1535211.20494 7437635.40409 40.7375658 -111.8796236 104.0

1536805.53762 7440594.71262 40.7457065 -111.8739153 105.0

1538390.77514 7440589.21298 40.7457094 -111.8681944 106.0

1539984.95974 7440588.60806 40.7457256 -111.8624413 107.0

1541569.87681 7440573.4845 40.7457016 -111.8567215 108.0

1536793.86617 7437629.36811 40.7375675 -111.8739127 109.0

1538378.84081 7437623.20225 40.7375686 -111.8681934 110.0

1539965.60397 7437617.12947 40.7375698 -111.8624677 111.0

1541550.79782 7437611.0084 40.7375704 -111.8567477 112.0

1536779.40626 7434679.39139 40.7294707 -111.8739204 113.0

1538364.01228 7434668.6902 40.7294593 -111.8682030 114.0

1539953.65397 7434663.29833 40.7294624 -111.8624676 115.0

1541539.07193 7434656.42437 40.7294610 -111.8567475 116.0

1535181.89141 7430888.57455 40.7190476 -111.8796260 117.0

1536751.9862 7430879.53698 40.7190410 -111.8739620 118.0

1538336.89152 7430874.37457 40.7190449 -111.8682445 119.0

1539948.02205 7430855.2119 40.7190103 -111.8624323 120.0

1541558.74714 7430873.92905 40.7190795 -111.8566221 121.0

1536717.18214 7426224.60162 40.7062642 -111.8740173 122.0

1538301.44296 7426221.6789 40.7062743 -111.8683033 123.0

1539893.56012 7426218.16448 40.7062825 -111.8625610 124.0

1541532.78562 7426207.40443 40.7062710 -111.8566486 125.0

1543138.24185 7440873.01162 40.7465408 -111.8510658 126.0

1544786.74924 7440741.48674 40.7461974 -111.8451148 128.0

1545668.97382 7443802.32316 40.7546076 -111.8419732 127.0

1546374.61811 7440734.08845 40.7461937 -111.8393843 129.0

1547977.0642 7440729.81627 40.7461986 -111.8336013 130.0

1543164.84515 7437606.2999 40.7375750 -111.8509235 131.0

1544775.90391 7437598.44568 40.7375707 -111.8451101 132.0

1546362.27516 7437608.48841 40.7376149 -111.8393861 133.0

1547959.44662 7437603.9043 40.7376188 -111.8336228 134.0

1549532.84174 7440717.88302 40.7461816 -111.8279866 135.0

1525690.67588 7437670.98622 40.7375475 -111.9139776 136.0

1527272.325 7437666.11968 40.7375541 -111.9082704 137.0

1543130.46993 7434692.34348 40.7295768 -111.8510063 138.0

1544773.01643 7434695.3434 40.7296026 -111.8450802 139.0

1546349.96511 7434669.60238 40.7295485 -111.8393903 140.0

1547942.34564 7434662.64834 40.7295459 -111.8336449 141.0

1549529.40923 7434652.37465 40.7295338 -111.8279188 142.0

1543499.55666 7430921.35077 40.7192307 -111.8496215 143.0

1545689.47222 7430898.00731 40.7191898 -111.8417213 144.0

1543756.91415 7427331.69297 40.7093809 -111.8486426 145.0

1546469.49908 7427319.50069 40.7093761 -111.8388585 146.0

1547601.28006 7431009.16695 40.7195148 -111.8348261 147.0

1549583.97976 7431902.68514 40.7219873 -111.8276855 148.0

1549124.52366 7429330.1957 40.7149220 -111.8293089 149.0

1549118.34818 7427047.37712 40.7086563 -111.8293008 150.0

1551784.98496 7429322.79025 40.7149282 -111.8197121 151.0

1550468.29058 7431855.82421 40.7149282 -111.8197121 148.0

